Company Name,Number of Medicines
ARTAS PHARMA,1
SOLFAIR PHARMA,1
REVENZA PHARMACEUTICALS PVT.LTD.,1
BIONOMICS LIFE SCIENCES PRIVATE LIMITED,1
EUROPIA BIOTECH PVT LTD,1
WASFA PHARMACEUTICALS INDIA,1
GRYFF PHARMACEUTICALS,1
BAROPHARN FORMULATION,1
AMBICA MEDICAL STORES,1
TOP CREPE,1
AXON PHARMACEUTICALS,1
SIEMEN LABORATORIES INDIA,1
ALCALE HEALTHCARE,1
MEDISWISS INDIA PVT. LTD.,1
INDAVIS LIFESCIENCES,1
NUTRIZO WELLNESS PVT LTD,1
STANMARK HEALTHCARE PVT.LTD.,1
ACULIFE HEALTHCARE PVT LTD,1
CANDIOLI,1
ARHA LIFESCIENCES,1
SHREE UNIONN SURGICALS PRIVATE LIMITED,1
FLAWLESS BEAUTH AND SKIN,1
PRETTY PETALS PVT. LTD.,1
MATRIX SURGICAL INDUSTRIES,1
LORETO PHARMACEUTICALS PVT LTD,1
LIVIDUS UROCARE,1
MEDITRINA LIFE SCIENCES PVT.LTD.,1
MARICO LTD; C/O ABHINAV HEATH CARE PRODUCTS PVT.LTD.,1
PINKCITY PHARMACEUTICALS PHARMA BIOLOGICAL,1
DESONS THERAPEUTICS PVT LTD,1
HUGGUES,1
VEERA PHARMA LTD,1
THIO MEDICARE PVT LTD,1
TENDULKAR MEGA STORE,1
NECTAR BIOPHARMA PVT.LTD,1
KAIZEN FORMULATION PVT LTD,1
HARNIK HEALTH CARE PRODUCTS,1
VERVE FORMULATIONS PVT LTD,1
SHRRISHTI HEALTH CARE PRODUCTS PVT LTD,1
THAIVER PHARMA,1
ALMED DRUGS PVT LTD,1
WELCODE PHARMACEUTICAL,1
BICON HEALTHCARE PVT LTD,1
NAMI LIFESCIENCES PVT LTD,1
ARIUS FORMULATIONS PRIVATE LIMITED,1
TRIPADA LIFECARE PVT LTD,1
INTERLINK EXPRESS,1
RGENE HEALTHCARE PHARMA,1
MCNEIL PRODUCTS LTD,1
NEGI DERMA,1
RAPTAKOS BRETT AND CO LTD,1
HIMALIK HERBS INDIA,1
ALCEA BIOTECH PRIVATE LIMITED,1
RESEARCH MEDICURE PVT LTD,1
FRISKA NUTRACEUTICALS,1
PROMETIC PHARMA,1
AVITA LABORATORIES,1
GREENCURE,1
STANMED PHARMACEUTICALS,1
NDDM PHARMACEUTICALS,1
AIMMAX PHARMA PVT LTD,1
REDON INFRAPOWER PVT LTD,1
PHARMACON LIFESCIENCES PVT LTD,1
ALBERT PHARMA,1
CHARON LIFE SCIENCES,1
ORION LIFE SCIENCE,1
LAURENCE HEALTHCARE PVT LTD,1
NATICON RESEARCH LABS PRIVATE LIMITED,1
JES PHARMACIA PRIVATE LIMITED,1
ASCENT CORPORATIONS,1
NAXPAR PHARMA PVT LTD,1
CIRRUS,1
MAX LIFE SCIENCE,1
MITSAN PHARMACEUTICALS,1
DYNOR PHARMACEUTICALS,1
LIFE VISION CARE,1
KSV PHARMACEUTICAL PRIVATE LIMITED,1
DEE PHARMA LIMITED,1
MEDILIVA HEALTHCARE PVT LTD,1
VYDEN LIFESCIENCES PVT LTD,1
OSHIN PHARMACEUTICALS PVT.LTD,1
ARTHVED HEALTHCARE,1
BIONUCLEUS PHARMACEUTICALS PRIVATE LIMITED,1
OCURIS PHARMACEUTICALS PRIVATE LIMITED,1
RODS N CONES PHARMACEUTICALS PVT LTD,1
HOPE PHARMACEUTICALS,1
CABLIN HEALTHCARE,1
STELLAR,1
MARC LABORATORIES PVT LTD,1
CURATIO HEALTHCARE PVT LTD,1
BIOTAN LABS,1
DRS RITE PHARMA,1
KUKJE PHARM,1
ASTOMA HEALTHCARE,1
LAN PHARMA CHEM,1
GALENICA LTD,1
LEGRAND PHARMACEUTICALS,1
CUTIX LIFESCIENCES,1
VERSION 2 HEALTHCARE INDIA PVT LTD,1
USAWA,1
SD JAIN PHARMACEUTICALS PVT.LTD.,1
SUPRA HEALTHCARE,1
LABIALFARMA,1
HEALTHCARE PVT LTD,1
SEAGEM REMEDIES,1
MEDVIN PHARMACEUTICALS PVT. LTD,1
BIOGLOBAL PHARMA INC,1
SAFETAB LIFE SCIENCE,1
AMZENEX HEALTHCARE PRIVATE LIMITED,1
SORANUS LIFESCIENCES PVT LTD,1
INDIA AGRO VISION IMPLEMENTS PVT LTD,1
GMH LABORATORY,1
ASTAMED HEALTHCARE (I) PVT LTD,1
ROMAN HEALTHCARE PVT.LTD,1
SHREEKIND LIFE SCIENCES PVT LTD,1
ARGON REMEDIES PVT LTD,1
SAP BIOTECH,1
SAPHAL PHARMA,1
AMWORLD BIOTECH PRIVATE LIMITED,1
GREEVAA LIFE SCIENCES,1
RADIANT PHARMACEUTICAL LTD,1
ALPHA OMEGA,1
APOTHIES PHARMACEUTICALS,1
ELIXIR REMEDIES,1
LEXIMED INDIA,1
SANITY PHARMA,1
MATILDA PHARMA (I) PVT.LTD,1
PLALS HEALTHCARE,1
MEDILIANCE,1
BIOSSOM PHARMACEUTICALS,1
MIDAS HEATHCARE LTD,1
S S M PHARMACEUTICALS PRIVATE LIMITED,1
ASHVIN HEALTH CARE,1
JAI DURGA ENTERPRISES,1
GRANDEUR INDIA HEALTHCARE,1
SUNRISE HEALTHCARE.,1
RIEMANN LABS PRIVATE LABORATORIES,1
SHADIPUR LABORATORIES LIMITED,1
HARSHIKA,1
VESTIGE PORTAL STORE,1
PRS MEDICARE PRIVATE LIMITED,1
DAEMON PHARMA PVT LTD,1
MEDION BIOTECH PVT LTD,1
BILSTEIN LIFE SCIENCE PVT,1
SHILPEX PHARMYSIS PVT.LTD,1
TRIVISTA LIFE SCIENCES,1
ALLENS INDIA LIMITED,1
MEDSOURCE OZONE BIOMEDICALS PVT LTD,1
ST SHARDA LIFESCIENCES,1
AGNUS PHARMACEUTICALS PVT LTD,1
STALWART LIFE SCIENCES PVT.LTD,1
MARTIN AND BROWN BIOSCIENCE,1
INDIZEN PHARMACEUTICAL,1
JAIN LIFESCIENCES PVT LTD,1
MIDLIFE BIOSCIENCES PRIVATE LIMITED,1
VISHNU FORMULATIONS,1
VEPRAGUS LABORATORIES PVT.LTD,1
ORBIT BIOCARE,1
FAWN INCORPORATION,1
GAYATRI INDUSTRIES,1
CHEMO HEALTH CARE PVT.LTD,1
GEWESO PHARMECIAA,1
VEDIC BIOTEC,1
SHANTAM PHARMACEUTICALS PVT. LTD.,1
NUCIDEM LIFE SCIENCES PRIVATE LIMITED,1
PANCHEM LIFE CARE PRIVATE LIMITED,1
BIOMORPH LIFESCIENCES,1
X MED MEDISCIENCES,1
BIOCARE REMEDIES PVT LTD,1
EVIZA BIOTECH PVT.LTD,1
CEOCHEM PHARMA,1
ANVI PHARMACEUTICALS,1
RAZIA LIFE SCIENCES,1
AIRMED PHARMACEUTICALS INDIA PVT LTD,1
KAPUAN HEALTHCARE,1
KAPEETUS MEDICROP,1
DESIGNS FOR HEALTH,1
PHYSIC PHARMACEUTICALS,1
ASTRAAZIN PHARMACEUTICALS PRIVATE LIMITED,1
UNIARM BIOTECH PRIVATE LIMITED,1
BILLS N MORISON PHARMACEUTICALS,1
NEPTUNE BIOTECH PVT.LTD,1
ADITSA HEALTHCARE INDIA PVT LTD,1
ZEOCHEM PHARMACEUTICALS PVT LTD,1
RHOMBIC LABORATORIES,1
SURIEN PHARMACEUTICALS,1
G.D LABORATORIES,1
NUTAL LIFESCIENCES,1
SONNEBIO HEALTHCARE PVT LTD,1
MATIROCK LIFESCIENCE,1
MATRIX HEALTH CARE LTD,1
DESH PHARMACEUTICALS LTD,1
CUVKAR GENETIC,1
AKME BIOTEC,1
SCOT DERMA PRIVATE LIMITED,1
CALYX BIOTECH,1
INFAR INDIA LIMITED,1
LARSAN HEALTHCARE,1
ALTENA LABORATORIES PVT LTD,1
SHRAY PHARMA LLP,1
CICA CARE,1
EUROMEDICARE INTERNATIONAL PRIVATE LIMITED,1
GREENLEAF FORMULATION,1
FUTURE CARE PHARMA,1
SYNERGIX INDIA,1
LITAX LIFE CARE,1
PROGEN RESEARCH LAB,1
ARGOS HEALTHCARE PVT LTD,1
LITELIC LABS,1
VAJRA LIFE SCIENCES,1
AVEIL PHARMA,1
SELEXIA BIOTECH PVT LTD,1
JAYANTILAL & BROTHERS,1
NORCHEM,1
RAJVI BIOTECH PRIVATE LIMITED,1
WINLET PHARMA,1
REKVINA LABORATORIES LTD,1
HITECH PHARMA,1
FRIEND,1
AW PHARMA,1
MEXON HEALTHCARE LTD,1
LEECHEM BIOTECH PVT LTD,1
INNATE,1
LOTTE INDIA CORPORATION LTD,1
APOTEK ALFA MEDIKA,1
SALUBRIA PHARMAVENTURES PVT LTD,1
SOLVATE,1
RECOVA PHARMA,1
MEDIWON PHARMA,1
QUZEN BIOTECH,1
KERON LIFESCIENCES PVT. LTD.,1
TRIONIA PHARMA,1
ATYAD LIFE SCIENCES PVT LTD,1
MAXIMA PHARMACEUTICALS,1
HMV PHARMACEUTICAL,1
NEESEE HEALTHCARE,1
AXIOM LABS,1
SENVION BIOTECH,1
ZEDON PHARMACEUTICALS,1
ZYREX PHARMA INDIA,1
GUDUCHI,1
SEVAM HEALTHCARE,1
HEALINOV PVT LTD,1
ELEGANT DRUGS PVT LTD,1
CARE HEALTH LIFESCIENCES,1
SYNTONIC LIFESCIENCES,1
B S P PHARMACEUTICAL PVT LTD,1
RAJ BIOCEUTICALS,1
S.V LIFESCIENCES,1
LYPHO MED REMEDIES PVT.LTD,1
NIVAAN PHARMACEUTICALS,1
UNICOSTA,1
KV LIFESCIENCES,1
JASMIN,1
ARIA LIFE SCIENCES,1
SRI KRISHNA DISTRIBUTORS,1
APCO PHARMA,1
BRION PHARMA PRIVATE LIMITED,1
MEDIGRACE,1
INTIMATE CARE,1
ZAVIA HEALTHCARE,1
THEA TEX HEALTHCARE INDIA PRIVATE LIMITED/NANZ MED SCIENCE PHARMA PVT LTD/THEA TEX HEALTHCARE INDIA PRIVATE LIMITED,1
MEDOYSE NUTRACEUTICALS PVT LTD,1
ZYRIS DERMA CARE (P) LTD,1
SARTHAK GROUP,1
REVIAN LIFESCIENCES,1
BLAZON BIOTEK PVT LTD,1
NEOVAP BIOPHARMACEUTICALS PVT. LTD.,1
JOHNSONS AND SMITH CO,1
AUSLER SNOVY HEALTHCARE,1
WEZEN CHEMICALS PVT LTD,1
GAT NUTRITION,1
PERCOS INDIA PVT. LTD.,1
OSSEOUS HEALTHCARE PVT LTD,1
NANO DRUGS,1
BIONET INDIA PVT LTD,1
CHRYSALIS HEALTHCARE,1
BARBER'S CLUB,1
CCL PHARMACEUTICALS PVT LTD,1
BIOXEL HEALTHCARE,1
ABDIEL (INDIA),1
MELAS GROUP OF COMPANIES,1
SPAN PHARMA,1
ZADINE RUMBS LTD,1
ADVOCARE PHARMA,1
NAXKEM PHARMACEUTICALS PVT LTD,1
BARRON ORGANICS,1
LYSON HEALTH CARE,1
PLEXUS LIFESCEINCES PVT.LTD,1
LORD LIFE CARE,1
VINODINE,1
LABCORP INDIA PVT LTD,1
MARS REMEDIES PVT LTD,1
AYATI PHARMACEUTICALS,1
MEGHRAJ PHARMACEUTICALS,1
BIOZEC HEALTHCARE,1
HANSH PHARMACEUTICALS,1
SARA REMEDIES LIMITED,1
TABLET INDIA,1
NATION FIRST PHARMA,1
FOREMOST MARKETING PVT LTD,1
NEURACLE LIFESCIENCES,1
NAVYA PHARMA PVT LTD,1
VRKSH PHARMACEUTICALS,1
RGP,1
HANGZHOU HUA'AN MEDICAL & HEALTH INSTRUMENTS CO. LTD.,1
BIOCIN HELTHCARE PVT LTD,1
OPSONIN PHARMA,1
VITAL PHARMA,1
BROMIDE PHARMACEUTICALS,1
HIYA LIFESCIENCES PVT LTD,1
HICURE PHARMACEUTICALS PRIVATE LIMITED,1
EVASTEO PHARMA,1
NURAY LIFESCIENCES PVT LTD,1
GODIVA BIOADVANCES PRIVATE LIMITED,1
DIVINE LAB,1
SERECHIO PHARMA PVT LTD,1
LADERLY BIO-TECH PHARMA,1
YOTTA HEALTH CARE,1
DR BAILY LABS,1
PATU INDUSTRY,1
MEDZER PHARMA PVT. LTD.,1
CERA BIOLOGICALS,1
INDO GERMAN HEALTH CARE,1
ERGO,1
CRON CRITICAL CARE,1
CONCORD DRUGS LTD,1
SALUBRY LIFE SCIENCES,1
PARKE DAVIS,1
KRESCENT VISION,1
MEDICARE PRODUCTS INC,1
CHALVER LAB,1
RICKMED FORMULATIONS PVT.LTD.,1
SOUTH INDO PHARMACEUTICALS PVT.LTD,1
HOBO LIFE SCIENCES,1
FEALTY GROUP,1
ANKUR LAB EYE DIVISION,1
KRISTAL PHARMACEUTICAL,1
UMBICELL PVT LTD,1
SPA HEALTHCARE PVT LTD,1
PRIOMED LIFE SCIENCES PRIVATE LIMITED,1
NUTRI LIFE PHARMA,1
NOVITAS HEALTHCARE,1
HELIOUS,1
MOBA PHARMACEUTICALS,1
KEO KARPEN,1
ROSNET PHARMA,1
IGNORAH HEALTH CARE,1
RHEUMACURE,1
BANUREET LABS PVT LTD,1
BIOROME DERMACARE,1
BOTANIC CHOICE,1
CELOSIA PHARMACEUTICAL PVT LTD,1
MOREISH PHARMACEUTICALS PVT. LTD.,1
ASHLIFE HEALTHCARE,1
AVISHAI LIFESCIENCES PVT LTD,1
GREYLAND PHARMA .LTD,1
ANISHYA,1
VISION CARE PHARMACEUTICALS PRIVATE LIMITED,1
BHUVID RESEARCH LAB PVT LTD,1
SWARAJ FORMULATIONS PVT LTD,1
MONIKA PHARMA AND SURGICALS,1
PROFOUND LIFE SCIENCES,1
RX CARE PHARMA,1
XEENA,1
ADAMJEE,1
EMEU DE CHARLEVOIX,1
HOWARD FLOREY PHARMACEUTICA,1
AESTHETIC SOLUTION,1
BHUMIJA LIFESCIENCES,1
DANONE NUTRICIA,1
SKIN FIRST COSMECEUTICAL,1
SCARLET LIFESCIENCE PVT.LTD,1
ANSEL HEALTHCARE,1
SANDOR ORTHOPEDICS,1
CENTURY LIFESCIENCE PVT LTD,1
WOOD ROCK HEALTHCARE PVT LTD,1
ENIVID LIFE SCIENCES,1
FORGE PHARMACEUTICALS,1
MSD PHARMACEUTICALS PRIVATE LTD.,1
HETAIDA,1
KORO MEDS LIFE SCIENCES,1
NUTRICHARGE,1
CITIZEN LIFESCIENCES PVT LTD,1
RED PLANET PHARMACEUTICALS,1
DEXA MEDICA,1
WE CARE PHARMACEUTICALS,1
VERTECH HEALTH SOLUTION,1
MADHAV DRUGS PVT LTD,1
SPARKLE LIFE SCIENCES PVT LTD,1
SAGAR MARKETING,1
CSC WELLNEWSS,1
LITTLE GREAVE PHARMACEUTICAL PVT.LTD,1
BYBY PHARMA,1
LILY BIOTECH,1
ZEALON,1
ADAMANT PHARMA,1
NADINE HEALTHCARE PRIVATE LIMITED,1
MEDIWORLD PHARMACEUTICLAS,1
ANGE BIOTECH,1
OSMED FORMULATIONS,1
GLANMOR PHARMACEUTICALS,1
ARIAN HEALTHCATE,1
SCOPE HEALTHCARE,1
MODERN PHARMACEUTICALS LIMITED,1
MONAD PHARMACEUTICALS,1
SACROMA REMEDIES PRIVATE LIMITED,1
DEMORBUS INDIA PRIVATE LIMITED,1
SCORPION,1
ANAND HEALTHCARE,1
ECOREM HEALTHCARE PVT LTD,1
EQUATE,1
WALTUS LIFE SCIENCES,1
CAD SHRRISHTI HEALTHCARE,1
DERMACEUTICAL LABS PRIVATE LIMITED,1
DZWON REMEDIES,1
VISINE,1
BIOARP PVT LTD,1
REGENT TRADELINKS LTD,1
UNIORANGE GROUP,1
ULTRA CHIRON,1
FIRDOUS GIFT CENTRE,1
CANDURE VISION PVT LTD,1
INGEN PHARMACEUTICALS,1
KARUNA HEALTHCARE,1
ATLANTA BIOTECH PVT LTD,1
NOVITAL HEALTH CARE,1
DXN,1
ASH HEALTHCARE PVT LTD.,1
DEITA BIOTECH,1
OLWEN,1
DROGUE PHARMA,1
PHALADA AGRO RESEARCH FOUNDATIONS PVT LTD,1
MEDISU,1
NOVAZING PHARMA PVT LTD,1
MINOPHARM LABORATORIES LTD,1
KOU KAN PHARMACEUTICALS PRIVATE LIMITED,1
RIVER PHARMA,1
MEDIBLESS PHARMA PRIVATE LIMITED,1
PHARMACURE HEALTHCARE,1
VISTA EAGLES GLOBAL PVT LTD,1
GENERAL NUTRITION CENTER,1
LEXINE TECHNOCHEM PRIVATE LIMITED,1
D-LITE TRADERS,1
VKAN HEALTHCARE,1
OREXIA PHARMA,1
CANDIDUS HERBALS &AMP; AROMATICOS INDIA PRIVATE LIMITED,1
MANDAR PHARMACEUTICAL,1
SHREE NUTRITIONS,1
PROCTUS PHARMACEUTICALS PVT.LTD,1
DUJHON,1
JAYARAM PRODUCTS,1
MAXON BIOTECH PVT LTD,1
NEXSTAR,1
SIMRIDHI PHARMA,1
UNIQUE LIFESCIENCES,1
REXIME PHARMACEUTICALS LTD,1
VRISTRI PHARMA,1
OTSUKA PHARMACEUTICAL INDIA PRIVATE LIMITED,1
VELOX BIOLOGICS PVT LTD,1
SEARCH ORBIS PHARMACEUTICALS,1
MANSAS PHARMACEUTICALS,1
SESDERMA INDIA PRIVATE LIMITED,1
PULIN PHARMACEUTICALS PVT LTD,1
ESSKAY BEE,1
AAKAAR MEDICAL TECHNOLOGIES PRIVATE LIMITED,1
PRECTOR LIFESCIENCES,1
ZATIWA LIFESCIENCES,1
ANICHEM PHARMACEUTICALS PVT LTD,1
AID PHARMACEUTICALS,1
BMC,1
DR. JRK&LSQUO;S RESEARCH AND PHARMACEUTICALS PVT LTD,1
HUDSON PHARMACEUTICALS LTD.,1
R S FORMULATION,1
ARKLE PHARMA,1
GROWNBURY PHARMACEUTICALS PVT LTD,1
NEO MEDICAL,1
BAIDYANATH AYURVED BHAVAN,1
MEDERA,1
MBWORLD EXIM PVT LTD,1
SILVER BIOTECH,1
SALVIS HEALTHCARE PRIVATE LIMITED,1
SOLVAY S.A.,1
AYURSUN PHARMA,1
NETEL NEUTRATEC,1
TN MED PHARMA,1
UNIWORD PHARMA,1
ANILATMAJ PHARMACEUTICALS,1
CAD PHARMA,1
LAXOR PHARMA PVT LTD,1
MEDIVA LIFECARE,1
ECO PHARMACURE HEALTHCARE PRIVATE LIMITED,1
LEVITAS PHARMACEUTICALS PVT LTD,1
G R HEALTHCARE LABORATORIES,1
STEADCARE LIFESCIENCES PVT LTD,1
SYNETIC HEALTH CARE,1
BALJIWAN MEDICINES PVT LTD,1
URBEN,1
ANGIA RX DRUG FORMULATION,1
MEDICOT LIFESCIENCES,1
BIOLINE DETERGENT PRODUCTS PVT LTD,1
DOSCH PHARMACEUTICALS PVT LTD,1
FRISKA NUTRACEUTICALS PVT LTD,1
RMPL PHARMA LLP,1
PROMINENT BIOTECH,1
CAPSYP MEDICA PRIVATE LIMITED,1
PHARMA MEDICO APS,1
FAITH PHARMACEUTICALS LTD.,1
CROSSDALE,1
JUBILATION BIO SCIENCES (P) LTD,1
SOLKEM PHARMA,1
MEDICINE HOUSE,1
NAADI PHARMACEUTICALS,1
SAI LAKSHMI MEDICAL CORPORATION,1
MATTOX BIOTECH,1
HOCHEST BIOTECH INDIA,1
GLITTER AGROTECH PRIVATE LIMITED,1
BALAARK PHARMACEUTICALS PRIVATE LIMITED,1
MILPHARM LIMITED,1
SUNRAJ PHARMA,1
SCIENTIFIC BRAIN NUTRACEUTICAL PVT LTD,1
ASTRAL DRUGS,1
SUNPRO PHARMA,1
MAEE PHARMACEUTICALS,1
MAMEARTH,1
ADICURE PHARMACEUTICAL,1
RAAYN DRUGS,1
ROYAL SAPPHIRE REMEDIES,1
NODEX PHARMACEUTICALS PVT.LTD,1
ZIYANA LIFESCIENCES PVT. LTD,1
KALYAN,1
VONARA BIOCEUTICALS,1
MILESTONE HEALTH CARE,1
INTERNATIONAL PHARMACEUTICALS,1
DEVYANI PHARMACEUTICALS,1
BERNOFARM PHARMACEUTICAL COMPANY,1
BIOSWIZZ PHARMACEUTICALS PVT LTD,1
P.K.ENTERPRISES,1
AVANT PHARMACEUTICALS,1
6TH SKIN PHARMACEUTICALS PVT LTD,1
ANOVAA PHARMA PRIVATE LIMITED,1
RELIANCE MEDI PHARMA,1
INCEPTA PHARMACEUTICALS LLP,1
POSITIVE MEDICARE,1
HELATH BIOMED PHARMA,1
SPECTRUM LIFE SCIENCES PVT. LTD,1
ALAINA PHARMA,1
AVECIA HEALTHCARE,1
VZIOC HEALTHCARE,1
SPARKLE LIFE SCIENCES PRIVATE LIMITED,1
STROTAY LIFE SCIENCES PVT LTD,1
RIVAN PHARMACEUTICALS PVT.LTD,1
COSTCO WHOLESALE CORPORATION,1
MEGOHM REMEDIES,1
SUN BIOTECH HEALTH CARE PVT LTD,1
ARIZONA,1
PARADIGM HEALTHCARE,1
BEKIM LIFESCIENCES,1
DREAMZ NUTRITION & PHARMACEUTICALS,1
FLORENZ MEDICARE LABS,1
SYMBIO LIFE PHARMACEUTICALS LTD,1
SCOCIA LABS,1
TIMETECH FORMULATIONS,1
YUNIP REMIDIES PVT LTD,1
IBERIA SKIN BRANDS INDIA PRIVATE LIMITED,1
STRAUSSZEN PHARMA,1
ADIN PHARMA,1
MINT PHARMACEUTICALS PVT.LTD,1
KEPS-3 LIFESCIENCE PVT LTD,1
MLT LABORATORIES PVT.LTD,1
MEDISWIF,1
NOVASTA,1
LORIX PHARMACEUTICAL,1
THYROCARE TECHNOLOGIES LIMITED,1
N.K.LABORATORIES,1
ORNATE PHARMA PVT LTD,1
CAREWELL HEALTHCARE,1
OPTRICA PHARMA PVT. LTD.,1
PRIMA NATURE CARE,1
NATIONAL PHARMA,1
XTRA PLUS PHARMACEUTICALS,1
DR DAY,1
NOVECO RESEARCH LAB,1
PRANAV HEALMARK BIOTECH,1
PREET REMEDIES PVT LTD,1
THEA TEX HEALTHCARE INDIA PRIVATE LIMITED/IMPLUX HEALTHCARE/BACFO PHARMACEUTICALS (INDIA) LIMITED,1
MANJA PHARMACEUTICALS PVT LTD,1
SHREE JI REMEDIES,1
WALNUT HEALTHCARE,1
NORWAY PHARMA,1
KRASIV LIFESCIENCES INDIA PVT LTD,1
UNIPHAR BIOTECH PVT LIMITED,1
HILTON HEALTH CARE,1
CAPRANE PHARMACEUTICALS PVT LTD,1
SUNRAYS HEALTHCARE,1
SM HEALTHCARE,1
KALYSTA PHARMACEUTICALS PVT LTD,1
MARTINET PHARMA PVT LTD,1
VITA GREEN,1
JSO,1
BETA DRUG PVT LTD,1
LIVKON PHARMACEUTICALS PVT LTD,1
ANI HEALTHCARE,1
RICHFIELD INTERNATIONAL PVT LTD,1
ORGYN LABORATORIES PRIVATE LIMITED,1
BISON BIOTEC PVT LTD,1
OLAR LIFESCIENCES,1
WYNBURG PHARMACEUTICALS,1
SPIRE PHARMA,1
GOAN PHARMA PRIVATE LIMITED,1
MEDIKLIK TIKOTA,1
TRUMEDIS PHARMA,1
MODI ANTIBIOTIC PVT.LTD,1
RECOVER HEALTHCARE,1
NEXTBIO TECH HEALTH CARE,1
HEALTHMATE PHARMACEUTICAL PVT LTD,1
QRICH LIFE SCIENCES,1
ZION PHARMACEUTICALS,1
V GEN LIFESCIENCES,1
GENEX LIFE SCIENCES,1
CHEVRON LIFE SCIENCES,1
CORPUS PHARMA,1
ALEXA PHARMACEUTICALS PVT LTD,1
VITAL HEALTH,1
UMAC PHARMACEUTICALS,1
METIERS PHARMA,1
VEE REMEDIES PRIVATE LIMITED,1
MAULINE INDIA PRIVATE LIMITED,1
JANUS BIOTECH,1
XEMEX LIFESCIENCES,1
JOHARS & SONS LTD,1
ALTAVISTA HEALTHCARE PVT LTD,1
DAWAKHANA TIBBIYA,1
HARVEY FORMULATION,1
MSHW,1
RG WIN HEALTH CARE,1
OPULENT NUTRACEUTICALS,1
XENIUM BIOCORP,1
PRINCE BEAUTY PRODUCTS,1
DAMRIN PHARMA,1
REEVEDA,1
ORA YOG RESEARCH INSTITUTE,1
FENESTA HEALTHCARE LLP,1
SUMED PHARMACEUTICALS,1
QROMED REMEDIES PRIVATE LIMITED,1
BIOMED LIFECARE,1
MEDIFF,1
ALVIS MEDISYNTHESIS PVT LTD,1
TEE AND TEE HEALTHCARE,1
EINS PHARMACEUTICALS,1
SYGNATO PHARMACEUTICAL PRIVATE LIMITED,1
PUREPET,1
USP LIFE SCIENCES,1
DYNAMIC TRACOM PVT.LTD,1
KUEMEN LABORATORIES PVT LTD,1
NEULIFE NUTRITION SYSTEMS,1
MANSA MEDI IMPEX,1
ONE LIFE CARE PVT LTD,1
BQU PHARMA PVT LTD,1
PENTA BIOTECH,1
SYNTHERGEN THERPEUTICS PVT.LTD,1
CIENS LABORATORIES,1
HUMANLIFE PHARMACEUTICALS PVT LTD,1
GOODFORTUNE PHARMACEUTICALS,1
APT CURE HEALTHCARE PVT LTD,1
OCULUS PHARMACEUTICALS,1
MACTER INTERNATIONAL (PVT) LTD,1
ZELLEVEN PHARMA PVT LTD,1
SSV PHARMA,1
ENLIFE BIOTECH PVT LTD,1
HI PHARM PHARMACEUTICAL,1
ROMAS REMEDIES,1
BONE HEALTH CARE,1
MDPL,1
ADS LIFESCIENCE,1
SOM PHARMA,1
AYUR,1
EUSA PHARMA,1
MOON LIFE PHARMA,1
CHEVRON LIFESCIENCES,1
DEV PHARMACY'S,1
KYUSEP HEALTHCARE,1
TITAN GEL LTD,1
RALSON,1
MATSON PHARMA PRIVATE LIMITED,1
MARTIN DOW LIMITED,1
SAVEIOER PHARMA,1
SEAMCO,1
MAC MEDILIFE PVT LTD,1
CLOVIS HEALTHCARE,1
DYNAMED LABORATORIES PVT LTD,1
VARSOY HEALTHCARE,1
MEDO CHEM LABORATORY PVT LTD,1
MADHAV OVERSEAS,1
IMMENCE LIFE SCIENCES PVT LTD,1
NURAY PHARMACEUTICALS,1
EVE BIOTECH,1
REMARK HEALTH CARE,1
ALTRUISTIC HEALTHCARE LLP,1
KPL LIFE SCIENCE PVT LTD,1
WAYPHAM INDIA PVT LTD,1
HARVEST HEATHCEUTICALS PVT LTD,1
JEEVAN PHARMA,1
CLARIANT PHARMACEUTICALS PVT LTD,1
WYKAY PHARMA,1
SUZIKEM DRUGS PVT LTD,1
HERBOCHEM REMEDIES INDIA (P) LIMITED,1
SANDOZ PRIVATE LIMITED,1
LORD VENKY PHARMA PVT LTD,1
GENIX PHARMA LIMITED,1
LYNX LIFESCIENCE,1
MARKLINE PHARMACEUTICALS,1
FARMA GLOW,1
VEXLIE BIOCEUTICALS,1
IR PHARMACEUTICALS PVT LTD,1
AMORGOS HEALTHCARE PVT LTD,1
ZIL CARE LIFESCINCES,1
HUDSON,1
WELNEX BIO,1
BIOQUEST PHARMACEUTICALS PVT LTD,1
LYF HEALTHCARE,1
NORTHWEST HEALTHCARE P.LTD,1
ALKON FORMULATION PRIVATE LIMITED,1
BEYBERRY PHARMA,1
SAKSHAM HEALTHCARE,1
ANLEY HEALTHCARE,1
NUTRABUFF NUTRACEUTICALS,1
CARE-MED PHARMACEUTICALS PVT LTD,1
SPY AGRO INDUSTRIES LIMITED,1
ANGELUS LIFE SCIENCES,1
BIO MEDICK,1
B BRAUN PVT LTD.,1
SPLENDID PHARMACEUTICALS,1
TARA BIOSCIENCES PVT LTD,1
FORT HERBAL DRUGS LTD,1
UNICORN INDIA,1
KRISTA LIFESCIENCE,1
NEWGENICS PHARMA,1
MEGADERM,1
PAMPER,1
SANKALP HEALTHCARE,1
ADMETUS PHARMA,1
SUNMAX LABORATORIES PRIVATE LIMITED,1
INNOVUS PHARMACEUTICALS INC,1
PARDYS HEALTHCARE,1
PRANNJIVANI HEALTHCARE PVT LTD,1
SIMQ PHARMA,1
TRETA HEALTHCARE,1
ISHJAS PHARMA PVT LTD,1
