Company Name,Number of Medicines
QUE PHARMA PVT LTD,130
HEALTH CARE FORMULATIONS PVT LTD,130
FERRING PHARMACEUTICALS PVT LTD,129
NOVAGEN PHARMA,129
KERALA AYURVEDA LTD,128
MEPFARMA INDIA PVT LTD,128
CUREX PHARMACEUTICALS PVT LTD,128
NITIN PHARMACEUTICALS PVT LTD,128
AKUMS DRUGS AND PHARMACEUTICAL LTD,127
MANO PHARMACEUTICALS PVT LTD,127
PHARMATECH HEALTHCARE,127
AGIO PHARMACEUTICALS,127
SEAGULL PHARMACEUTICAL PVT LTD,126
PHOENIX LIFESCIENCES,126
PANKAJA KASTURI,126
RAVENBHEL PHARMACEUTICALS PVT LTD,126
ALTIUS LIFE SCIENCES,126
AIMIL PHARMACEUTICAL (INDIA),125
APRICA PHARMACEUTICALS PVT LTD,125
INTEGRA LIFE SCIENCES PVT LTD,125
GLADCARE FORMULATIONS PVT LTD,125
GODREJ CONSUMER PRODUCTS LTD,124
ALAR LABORATORIES PVT LIMITED,124
BELL PHARMA PRIVATE LIMITED,124
M.D.C. PHARMACEUTICALS (P) LTD,124
INDICA LABORATORIES,123
MARC LABORATORIES,123
CALIBAR PHARMACEUTICALS PVT LTD,123
ZENTIS DRUGS PVT LTD,123
SAGA LABORATORIES,122
MERRIL PHARMA PVT LTD,122
PIRAMAL HEALTHCARE,121
AVALANCHE PHARMACEUTICALS,121
REKVINA PHARMACEUTICALS,121
CENTURION LABORATORIES,121
MEDREICH LIFECARE LIMITED,121
HEALTHKIND LABS PVT LTD,121
GOPAL LIFE SCIENCES PVT LTD,120
GALCARE PHARMACEUTICAL PVT LTD,120
AMWILL HEALTHCARE,119
MEDIZEN LABS PVT. LTD. (ZENITH NUTRITION),118
NOEL PHARMA,118
ITC LIMITED,117
BARODA PHARMA PVT LTD,117
GREEN LAB HEALTH CARE PVT LTD,117
OSPER PHARMACEUTICLS PVT LTD,117
10 DRUG MART,116
ESKAG PHARMA PVT LTD,116
AKESISS PHARMA (P) LTD,116
INGA LABORATORIES PVT LTD,116
VENTUS PHARMACEUTICALS PVT LTD,116
BIOSYNC PHARMACEUTICALS PVT LTD,116
MYLAN PHARMA,114
ALGEN HEALTHCARE PVT LTD,114
BAYER PHARMACEUTICALS,114
VIDAKEM LIFESCIENCES PVT LTD,114
VILBERRY HEALTHCARE PVT LTD,114
MAXAMUS INTERNATIONAL,113
WALTER BUSHNELL LTD,113
HONASA CONSUMER PRIVATE LIMITED,113
ZOTA HEALTHCARE LTD,113
LIFECARE NEURO PRODUCTS LTD,113
INDI PHARMA PVT LTD,113
WINTECH PHARMACEUTICALS,113
UNIVERSAL PHARMA,112
ETHICARE REMEDIES,112
OPSISCARE LIFESCIENCSE PVT LTD,112
RAPROSS PHARMACEUTICALS PVT LTD,112
INDU PHARMA PVT LTD,112
CHEMO DRUGS,112
ANABIOSIS MEDISCIENCES LTD,112
MARS THERAPUTICS & CHEMICALS LTD,111
NUMERA LIFE SCIENCES,111
DYCINE PHARMACEUTICALS,111
JAWA PHARMACEUTICAL PVT LTD,111
PLUS INDIA PHARMA,111
ICPA HEALTH PRODUCTS LTD,110
ICARUS HEALTH CARE PVT LTD,110
INTECARE PHARMACEUTICALS,110
RHINE BIOGENICS PVT LTD,110
NORDIC FORMULATIONS PVT LTD,110
CAPLET INDIA PVT LTD,110
ADONIS LABORATORIES PVT LTD,109
GOKUL PHARMA,109
MEDIWIN PHARMACEUTICALS,109
SMART LABORATORIES PVT LTD,108
K.C LABORATORIES,108
PRISM LIFESCIENCE,108
SINSAN PHARMACEUTICALS,108
MEDILEWIS BIOTECH,108
DIAL PHARMACEUTICALS PVT LTD,108
WINGS PHARMACEUTICALS PVT LTD,107
LIFE CARE FORMULATION LTD,107
ALCHEMIST LIFE SCIENCE LTD,107
GLAND PHARMA LIMITED,107
AZINE HEALTHCARE PVT LTD,107
SHINCE PHARMACEUTICALS PVT LTD,107
DR REDDY'S LAB (WOCKHARDT),106
PROCTER & GAMBLE HEALTHCARE,106
UNIPURE BIOTECH,106
WENS PHARMA PVT LTD,106
HERBOLAB INDIA PRIVATE LTD,105
FULFORD (INDIA) LTD,105
AAREEN HEALTHCARE PVT LTD,105
MEDILENTE PHARMA PVT LTD,105
SEPTALYST LIFESCIENCES PVT LTD,105
PACIFIC DRUGS & CHEMICALS,105
STERKEM PHARMA PVT LTD,104
GODREJ SARA LEE LIMITED,104
SYMBIOSIS PHARMACEUTICALS PVT LTD,104
OPTHO REMEDIES PVT LTD,104
GALDERMA INDIA PVT LTD,103
KEE PHARMA,103
EUPHORIC PHARMACEUTICALS (P) LTD,103
ALVIO PHARMACEUTICALS PVT LTD,102
RELAX PHARMA,102
NOVO INDIA,102
PERK PHARMACEUTICALS LTD,102
THEO PHARMACEUTICALS LTD,102
LEEMED PHARMACEUTICALS,101
LIFE PHARMA,101
CHEMINNOVA LIFE SCIENCES,101
ALLERGAN INDIA PVT LTD,100
AUREL BIOLIFE PVT LTD,100
SIGMUND PROMEDICA,100
BIOSANS LIFECARE,100
SIGMAN WELLNESS,100
SYNCOM FORMULATIONS INDIA LIMITED,99
SARABHAI PIRAMAL PHARMA LTD,99
FUSION HEALTH CARE,99
ALBATROSS HEALTH CARE PVT LTD,99
DR ALSON LABORATORIES PVT LTD,99
HEALTHSERCH PHARMA LLP,99
DELVIN FORMULATIONS PVT LTD,98
SAN BOSTON LIFE SCIENCES,98
COXSWAIN HEALTHCARE,98
ATON BIOTECH,98
KAMRON LABORATORIES LTD,98
SERVE PHARMACEUTICALS,97
ETHINEXT PHARMA PVT LTD,97
INNOKON LABORATORIES PRIVATE LTD,97
NOVO NORDISK INDIA PVT LTD,97
CADELL HEALTHCARE PVT LTD,97
IMED HEALTHCARE PVT LTD,97
RECO DURGS,97
PRECIA PHARMA,96
NESLE,96
YACCA PHARMACEUTICALS PVT LTD,96
SKYMAX LABORATORIES LTD,96
DRAKT PHARMACEUTICAL PVT LTD,95
PARRY PHARMA PVT LTD,95
CENTENIAL,95
WINDLAS BIOTECH PRIVATE LIMITED,94
CADBURY INDIA LIMITED,94
ZYDUS HEALTHCARE LIMITED,94
ALKA PHARMACEUTICALS,94
MEDIHEALTH LIFESCIENCES INDIA PVT LTD,94
RECKITT & COLMAN OF INDIA LTD,93
BIODERMA SOLUTIONS,93
MERIDIAN MEDICARE LTD,93
PRAGMATIC LABORATORIES PVT LTD,93
SAYONA MEDICARE PVT LTD,93
ESTER FORMULATIONS,93
HIMALAYA,92
SAFFRON THERAPEUTICS PVT LTD,92
TULIP,92
FEM CARE PHARMA,92
CASSEL RESEARCH LABORATORIES,92
HERBAL HILLS,91
MARICO LIMITED,91
ARIKA HEALTHCARE,91
NATURELL INDIA PRIVATE LIMITED,90
PHARMATAK OPTHALMICS I PVT LTD,90
ANTHEM BIOPHARMA PVT LTD,90
BIOPLASMID HEALTHCARE PVT LTD,90
AMRUTANJAN HEALTH CARE LIMITED,89
MONICHEM HEALTHCARE PVT LTD,89
NULIFE PHARMACEUTICALS,89
MEGHA HEALTCARE PVT LTD,89
DESTA LIFESCIENCES,89
PDC HEALTHCARE,89
ESMA FORMULATIONS PVT LTD,89
VANGUARD THERAPEUTICS PVT LTD,89
INJECTO CAPTA PVT LTD,89
MARICO,88
ATOPIC LABORATORIES PVT LTD,88
ALLEN DALE BIOSCIENCES PVT LTD,88
MONTEK BIOPHARMA,88
JUGGAT PHARMA,88
DOMAGK-SMITH LABORATORIES PVT LTD,88
FIDELITY LIFESCIENCES PVT LTD,88
HEXAGON NUTRITION PVT LTD,87
MEDRAD INC,87
KAPCO INTERNATIONAL LIMITED,87
ORGANON INDIA LIMITED,87
ELINOR PHARMA,87
RASS HEALTH CARE,87
WYETH PHARMACEUTICALS LIMITED,87
AQUILA LABS,87
WISCON PHARMACEUTICALS,87
ANHOX HEALTHCARE PVT LTD,87
ASTAMED HEALTHCARE PVT LTD,87
GLOWDERMA LAB PVT LTD,87
GEN BIOTEC PRIVATE LIMITED,86
HOS & INS PHARMA,86
TYCOON PHARMACEUTICALS PVT LTD,86
UNICURE REMEDIES PVT LTD,86
MASCOT HEALTH SERIES PVT LTD,86
VASU PHARMACEUTICALS PVT LTD,86
ARETAEUS PHARMACEUTICALS,86
JUPITER PHARMACEUTICALS,86
NOVUS LIFE SCIENCES PVT LTD,86
APPLE THERAPEUTICS PVT LTD,86
Q CHECK SPECIALITY CARE PVT LTD,86
COMMONWEALTH PHARMACEUTICALS,86
VASU HEALTHCARE,85
GRANDCURE HEALTHCARE PVT LTD,85
VILCO LABORATORIES PVT LTD,85
GENESIS REMEDIES PVT LTD,85
MODICARE,84
ALMATICA PHARMACEUTICALS PVT LTD,84
KIMBERLY-CLARK LEVER PRIVATE LIMITED,84
BANGIA SCHERING,84
ASTRUM HEALTHCARE PVT LTD,84
RACE PHARMACEUTICALS PVT LTD,84
P &B LABORATORIES PVT LTD,83
HINDUSTAN LATEX LIMITED,83
SRG MEDICAL (DISINFICANT),83
SALVEO LIFECARE,83
REZICURE PHARMACEUTICALS,83
BELLA INDIA HEALTH CARE PVT LTD,82
VICCO LABORATORIES,82
SAF FERMION LTD,82
STANFORD LABORATORIES,82
ULTRAMARK PHARMACEUTICALS,82
ECON HEALTHCARE PVT LTD,82
MHS PHARMACEUTICALS PVT LTD,82
FARLIN,81
JANSSEN,81
NUWILL BIOTECH PVT LTD,81
ASTRAEA LIFE SCIENCES PVT LTD,81
WELKIND PHARMA,81
SIRONA HYGIENE PVT LTD,80
PERCOS INDIA PVT LTD,80
NEMUS PHARMACEUTICALS PVT LTD,80
SOFT PHARMACEUTICALS,80
DR. CURE PHARMACEUTICAL,80
AIOCD LTD,80
MITS HEALTHCARE PVT LTD,79
BIO WARRIORS PHARMACEUTICALS PVT LTD,79
HEAL LABORATORIES PVT LTD,79
BACTOLAC FORMULATIONS PVT LTD,79
TWEET INDIA PHARMACEUTICALS PVT LTD,79
EVA BIOTECH,79
OJB HERBALS PVT LTD,78
ZENOX LIFE SCIENCES LTD,78
VIRBAC ANIMAL HEALTH INDIA PVT LTD,78
AMRAY HEALTH CARE,78
INEX MEDICAMENTS PVT LTD,78
CAPITAL PHARMA,78
SURYA PHARMACEUTICALS,78
DENSA PHARMACEUTICALS PVT LTD,78
SH PHARMACEUTICALS LTD,78
LAKSUN LIFESCIENCES,78
AARUX PHARMACEUTICALS PVT LTD,77
LA PRISTINE BIOCEUTICALS PVT LTD,77
SOLVATE LABORATORIES PVT LTD,77
OMEGA PHARMACEUTICALS PVT LTD,77
SPECIALITY MEDITECH PVT LTD,77
LA MED INDIA,76
JARUN PHARMACEUTICAL PVT LTD,76
